cnes_codigo,cod_cep,cep_limpo,codufmun,municipio_codigo_6,uf_codigo,tp_unid,tpgestao,esfera_a,nat_jur,competen,cep_valido,municipio_valido,uf_valida,spatial_resolution_available,spatial_resolution_target,fallback_rule,cnes_competencia,source_system,lookup_scope,latitude,longitude,spatial_resolution_final,spatial_source,geocode_quality,municipio_nome,uf_sigla,uf_nome
0081825,18606730,18606730,350750,350750,35,05,M,M,2143,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Botucatu,SP,São Paulo
0086673,60135285,60135285,230440,230440,23,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-3.7393709,-38.513059,cep,nominatim_cep,aproximado_por_cep,Fortaleza,CE,Ceará
0089338,20775090,20775090,330455,330455,33,05,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.8969367,-43.2760104,cep,nominatim_cep,aproximado_por_cep,Rio de Janeiro,RJ,Rio de Janeiro
0102075,01309010,01309010,355030,355030,35,05,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.556131,-46.6582032,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0102105,02806160,02806160,355030,355030,35,05,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0102229,11025190,11025190,354850,354850,35,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.9720863,-46.3013419,cep,nominatim_cep,aproximado_por_cep,Santos,SP,São Paulo
0104701,94380000,94380000,430905,430905,43,50,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-29.8852955,-50.7717531,cep,nominatim_cep,aproximado_por_cep,Glorinha,RS,Rio Grande do Sul
0106453,28899422,28899422,330452,330452,33,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-22.4868197,-41.9158192,cep,nominatim_cep,aproximado_por_cep,Rio das Ostras,RJ,Rio de Janeiro
0106860,48900098,48900098,291840,291840,29,07,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Juazeiro,BA,Bahia
0107239,62850000,62850000,230350,230350,23,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-4.1110561,-38.2350912,cep,nominatim_cep,aproximado_por_cep,Cascavel,CE,Ceará
