cnes_codigo,cod_cep,cep_limpo,cep_valido,codufmun,municipio_codigo_6,municipio6_valido,uf_codigo,uf_valida,spatial_resolution_potencial,TP_UNID,TPGESTAO,ESFERA_A,NAT_JUR,COMPETEN
7176368,64001200,64001200,True,221100,221100,True,22,True,cep,50,M,M,1155,202601
7179286,64415000,64415000,True,220672,220672,True,22,True,cep,02,M,M,1244,202601
7184689,11660690,11660690,True,351050,351050,True,35,True,cep,73,M,M,1244,202601
7187556,48120000,48120000,True,292520,292520,True,29,True,cep,05,M,M,1244,202601
7188099,88930000,88930000,True,421880,421880,True,42,True,cep,02,M,M,1244,202601
7194900,64760000,64760000,True,221000,221000,True,22,True,cep,02,M,M,1031,202601
7202253,65420000,65420000,True,211210,211210,True,21,True,cep,05,E,E,1023,202601
7206771,17033841,17033841,True,350600,350600,True,35,True,cep,73,M,M,1244,202601
7218656,76935000,76935000,True,110149,110149,True,11,True,cep,05,E,E,1023,202601
7221479,78005000,78005000,True,510340,510340,True,51,True,cep,22,M,M,4000,202601
7222327,64083015,64083015,True,221100,221100,True,22,True,cep,42,M,M,1155,202601
7222424,64000090,64000090,True,221100,221100,True,22,True,cep,42,M,M,1155,202601
7223676,48485000,48485000,True,292970,292970,True,29,True,cep,05,M,M,1244,202601
7227094,55157290,55157290,True,260170,260170,True,26,True,cep,73,M,M,1244,202601
7228163,06855500,06855500,True,352220,352220,True,35,True,cep,20,M,M,1120,202601
7231458,48390000,48390000,True,290700,290700,True,29,True,cep,15,M,M,1244,202601
7233086,93025630,93025630,True,431870,431870,True,43,True,cep,05,M,M,2143,202601
7240155,69985000,69985000,True,120042,120042,True,12,True,cep,02,M,M,1244,202601
7244339,25071182,25071182,True,330170,330170,True,33,True,cep,05,M,M,2046,202601
7249942,25945412,25945412,True,330185,330185,True,33,True,cep,68,M,M,1244,202601
7251491,22775003,22775003,True,330455,330455,True,33,True,cep,05,M,M,2062,202601
7252455,01504001,01504001,True,355030,355030,True,35,True,cep,05,M,M,3999,202601
7254628,78280000,78280000,True,510562,510562,True,51,True,cep,05,M,M,1244,202601
7257406,29166828,29166828,True,320500,320500,True,32,True,cep,05,E,E,1023,202601
7259069,86770000,86770000,True,412340,412340,True,41,True,cep,02,M,M,1244,202601
7260784,66623590,66623590,True,150140,150140,True,15,True,cep,73,M,M,1031,202601
7261012,09911070,09911070,True,351380,351380,True,35,True,cep,05,M,M,2062,202601
7263589,83420725,83420725,True,412080,412080,True,41,True,cep,02,M,M,1244,202601
7263813,78053600,78053600,True,510340,510340,True,51,True,cep,73,M,M,1031,202601
7264755,15400071,15400071,True,353390,353390,True,35,True,cep,20,M,M,2143,202601
7266650,27966540,27966540,True,330240,330240,True,33,True,cep,73,M,M,1244,202601
7267096,72874218,72874218,True,522185,522185,True,52,True,cep,73,M,M,1244,202601
7267975,20231092,20231092,True,330455,330455,True,33,True,cep,07,E,E,1023,202601
7274351,89580049,89580049,True,420550,420550,True,42,True,cep,05,E,E,3999,202601
7274440,60750022,60750022,True,230440,230440,True,23,True,cep,73,E,E,1023,202601
7275099,65917010,65917010,True,210530,210530,True,21,True,cep,73,M,M,1244,202601
7278608,86350000,86350000,True,412390,412390,True,41,True,cep,05,D,D,2062,202601
7278888,67125060,67125060,True,150080,150080,True,15,True,cep,73,M,M,1031,202601
7283458,67146168,67146168,True,150080,150080,True,15,True,cep,05,M,M,3999,202601
7286082,89802500,89802500,True,420420,420420,True,42,True,cep,07,E,E,3999,202601
7288263,55409000,55409000,True,260795,260795,True,26,True,cep,05,M,M,1244,202601
7297394,56308000,56308000,True,261110,261110,True,26,True,cep,62,E,E,1023,202601
7300565,45654000,45654000,True,291360,291360,True,29,True,cep,36,M,M,2062,202601
7303068,79400000,79400000,True,500330,500330,True,50,True,cep,05,M,M,3999,202601
7304447,68710000,68710000,True,150430,150430,True,15,True,cep,02,M,M,1244,202601
7306326,55330000,55330000,True,260210,260210,True,26,True,cep,02,M,M,1244,202601
7309708,83302000,83302000,True,411950,411950,True,41,True,cep,73,M,M,1244,202601
7313853,06020012,06020012,True,353440,353440,True,35,True,cep,22,M,M,2062,202601
7317255,28613000,28613000,True,330340,330340,True,33,True,cep,50,M,M,1244,202601
7317530,22251050,22251050,True,330455,330455,True,33,True,cep,05,M,M,2054,202601
7317808,57500000,57500000,True,270800,270800,True,27,True,cep,02,M,M,1244,202601
7320116,79740000,79740000,True,500470,500470,True,50,True,cep,22,M,M,2054,202601
7321252,65360000,65360000,True,210690,210690,True,21,True,cep,05,E,E,1023,202601
7321775,58900000,58900000,True,250370,250370,True,25,True,cep,73,E,E,1023,202601
7324618,89256800,89256800,True,420890,420890,True,42,True,cep,73,M,M,2143,202601
7326823,86183080,86183080,True,410370,410370,True,41,True,cep,73,M,M,1244,202601
7329334,29136252,29136252,True,320510,320510,True,32,True,cep,73,M,M,1244,202601
7336578,29338000,29338000,True,320280,320280,True,32,True,cep,05,M,M,3999,202601
7340885,15809007,15809007,True,351110,351110,True,35,True,cep,73,M,M,1244,202601
7343000,45810000,45810000,True,292530,292530,True,29,True,cep,50,M,M,1244,202601
7344473,98960000,98960000,True,431790,431790,True,43,True,cep,02,M,M,1244,202601
7345259,54340605,54340605,True,260790,260790,True,26,True,cep,73,M,M,1244,202601
7345364,06320060,06320060,True,351060,351060,True,35,True,cep,22,M,M,4000,202601
7349270,78045000,78045000,True,510340,510340,True,51,True,cep,05,M,M,1031,202601
7352026,50920310,50920310,True,261160,261160,True,26,True,cep,02,E,E,1023,202601
