cnes_codigo,municipio_codigo_6,municipio_nome,uf_sigla,latitude,longitude,centroide_lat,centroide_lon,spatial_resolution_final,spatial_source,geocode_quality,dist_km_to_expected_municipio,candidate_downgrade_to_municipio
2494280,110002,Ariquemes,RO,-15.8032581,-47.8854767,-9.951936734423027,-62.95750515598174,cep,nominatim_cep,aproximado_por_cep,1757.5865807849573,True
2494299,110002,Ariquemes,RO,-15.8032581,-47.8854767,-9.951936734423027,-62.95750515598174,cep,nominatim_cep,aproximado_por_cep,1757.5865807849573,True
3933229,241390,Taipu,RN,-15.8032581,-47.8854767,-5.596699252797896,-35.58521163221897,cep,nominatim_cep,aproximado_por_cep,1757.467655921157,True
2474425,241390,Taipu,RN,-15.8032581,-47.8854767,-5.596699252797896,-35.58521163221897,cep,nominatim_cep,aproximado_por_cep,1757.467655921157,True
3941035,241390,Taipu,RN,-15.8032581,-47.8854767,-5.596699252797896,-35.58521163221897,cep,nominatim_cep,aproximado_por_cep,1757.467655921157,True
2474174,241010,Poço Branco,RN,-15.8032581,-47.8854767,-5.571510501528567,-35.694364136269336,cep,nominatim_cep,aproximado_por_cep,1750.2482227273053,True
2560089,241220,São José de Mipibu,RN,-15.8032581,-47.8854767,-6.063992605554944,-35.28942272216704,cep,nominatim_cep,aproximado_por_cep,1748.8864286224582,True
5498465,150613,Redenção,PA,-23.4647655,-46.8584264,-8.069347120704428,-50.198159084043205,cep,nominatim_cep,aproximado_por_cep,1748.5265850673466,True
2316668,150613,Redenção,PA,-23.4647655,-46.8584264,-8.069347120704428,-50.198159084043205,cep,nominatim_cep,aproximado_por_cep,1748.5265850673466,True
2316633,150613,Redenção,PA,-23.4647655,-46.8584264,-8.069347120704428,-50.198159084043205,cep,nominatim_cep,aproximado_por_cep,1748.5265850673466,True
2504901,150613,Redenção,PA,-23.4647655,-46.8584264,-8.069347120704428,-50.198159084043205,cep,nominatim_cep,aproximado_por_cep,1748.5265850673466,True
3185591,150613,Redenção,PA,-23.4647655,-46.8584264,-8.069347120704428,-50.198159084043205,cep,nominatim_cep,aproximado_por_cep,1748.5265850673466,True
2474042,240185,Caiçara do Norte,RN,-15.8032581,-47.8854767,-5.191828370330594,-36.08330942574097,cep,nominatim_cep,aproximado_por_cep,1746.9596005988801,True
3219135,240120,Arês,RN,-15.8032581,-47.8854767,-6.19368708421472,-35.208165789784594,cep,nominatim_cep,aproximado_por_cep,1746.7886302978382,True
2473518,240710,Macaíba,RN,-15.8032581,-47.8854767,-5.92684253679331,-35.42873903988365,cep,nominatim_cep,aproximado_por_cep,1746.7421528356354,True
2473577,240710,Macaíba,RN,-15.8032581,-47.8854767,-5.92684253679331,-35.42873903988365,cep,nominatim_cep,aproximado_por_cep,1746.7421528356354,True
6742017,240710,Macaíba,RN,-15.8032581,-47.8854767,-5.92684253679331,-35.42873903988365,cep,nominatim_cep,aproximado_por_cep,1746.7421528356354,True
6559689,240710,Macaíba,RN,-15.8032581,-47.8854767,-5.92684253679331,-35.42873903988365,cep,nominatim_cep,aproximado_por_cep,1746.7421528356354,True
3329151,240710,Macaíba,RN,-15.8032581,-47.8854767,-5.92684253679331,-35.42873903988365,cep,nominatim_cep,aproximado_por_cep,1746.7421528356354,True
4067312,431830,São Gabriel,RS,-15.8032581,-47.8854767,-30.304928493639732,-54.365341020808636,cep,nominatim_cep,aproximado_por_cep,1742.4232664643732,True
2232847,430605,Cristal,RS,-15.8032581,-47.8854767,-31.008697263470513,-52.0305250963581,cep,nominatim_cep,aproximado_por_cep,1742.3981610077078,True
2429918,261110,Petrolina,PE,-23.4647655,-46.8584264,-9.019752454343784,-40.57240405756292,cep,nominatim_cep,aproximado_por_cep,1739.892540802586,True
3136876,261110,Petrolina,PE,-23.4647655,-46.8584264,-9.019752454343784,-40.57240405756292,cep,nominatim_cep,aproximado_por_cep,1739.892540802586,True
3825213,241480,Vera Cruz,RN,-15.8032581,-47.8854767,-6.037191106203023,-35.43551950228143,cep,nominatim_cep,aproximado_por_cep,1738.3103636563237,True
2375249,241480,Vera Cruz,RN,-15.8032581,-47.8854767,-6.037191106203023,-35.43551950228143,cep,nominatim_cep,aproximado_por_cep,1738.3103636563237,True
4012577,240220,Canguaretama,RN,-15.8032581,-47.8854767,-6.39507942491302,-35.14845677713765,cep,nominatim_cep,aproximado_por_cep,1738.048918500079,True
2708108,130050,Barreirinha,AM,-15.8032581,-47.8854767,-3.1289542305725493,-57.17238183300661,cep,nominatim_cep,aproximado_por_cep,1737.5447012162306,True
2357666,250930,Mataraca,PB,-15.8032581,-47.8854767,-6.55631717565591,-35.04391087864625,cep,nominatim_cep,aproximado_por_cep,1736.2151165071916,True
5498457,240160,Bento Fernandes,RN,-15.8032581,-47.8854767,-5.67591397383656,-35.81184932980245,cep,nominatim_cep,aproximado_por_cep,1732.818710918706,True
2375222,240180,Brejinho,RN,-15.8032581,-47.8854767,-6.218169110969539,-35.38358550883089,cep,nominatim_cep,aproximado_por_cep,1729.9877753699488,True
2375206,240180,Brejinho,RN,-15.8032581,-47.8854767,-6.218169110969539,-35.38358550883089,cep,nominatim_cep,aproximado_por_cep,1729.9877753699488,True
4012437,240170,Bom Jesus,RN,-15.8032581,-47.8854767,-6.000815276079702,-35.59079380424401,cep,nominatim_cep,aproximado_por_cep,1727.72837804986,True
9323856,430350,Camaquã,RS,-15.8032581,-47.8854767,-30.92243926087168,-51.78864835467257,cep,nominatim_cep,aproximado_por_cep,1727.3240984111087,True
2226383,430350,Camaquã,RS,-15.8032581,-47.8854767,-30.92243926087168,-51.78864835467257,cep,nominatim_cep,aproximado_por_cep,1727.3240984111087,True
2375109,240980,Pedro Velho,RN,-15.8032581,-47.8854767,-6.46525828711497,-35.22452073111022,cep,nominatim_cep,aproximado_por_cep,1726.6208903029483,True
3035131,240980,Pedro Velho,RN,-15.8032581,-47.8854767,-6.46525828711497,-35.22452073111022,cep,nominatim_cep,aproximado_por_cep,1726.6208903029483,True
2316757,150390,Juruti,PA,-15.8032581,-47.8854767,-2.6228686967040287,-56.22120847108589,cep,nominatim_cep,aproximado_por_cep,1726.5683900163704,True
2316811,150390,Juruti,PA,-15.8032581,-47.8854767,-2.6228686967040287,-56.22120847108589,cep,nominatim_cep,aproximado_por_cep,1726.5683900163704,True
7712103,150390,Juruti,PA,-15.8032581,-47.8854767,-2.6228686967040287,-56.22120847108589,cep,nominatim_cep,aproximado_por_cep,1726.5683900163704,True
